alpha_directory,checkpoint_step,nq,triviaqa,popqa,hotpotqa,2wikimultihopqa,musique,bamboogle,Avg,note
0,150,0.33933518005540164,0.5101210996199063,0.40800448587649824,0.3096556380823768,0.28967875318066155,0.09557302441042614,0.232,0.31205259731789586,alpha0 is observed OPD baseline.
0.5,150,0.3337950138504155,0.5060549809953151,0.4028176911754398,0.3151924375422012,0.2806138676844784,0.08936698386429458,0.232,0.3085487107303064,
1,150,0.32742382271468146,0.4958896844338372,0.3941263054601528,0.3085752869682647,0.28498727735368956,0.0964004964832437,0.216,0.3033432676305528,
1.5,100,0.32936288088642657,0.4990718642269955,0.40800448587649824,0.29574611748818364,0.25962150127226463,0.07860984691766652,0.16,0.2900595280954336,
2,100,0.33240997229916897,0.4856359939892159,0.4110885259690194,0.2929101958136394,0.25819020356234096,0.07405875051717005,0.192,0.292327663164365,Directory says alpha2 but saved training config says 1.5; not verified alpha2.
