case,historical_parity,hidden,observed,delta,er,positive_but_insufficient
E002,True,-2.4182701110839844,-8.704813003540039,-6.286542892456055,-14.991355895996094,False
E003,False,13.181100845336914,11.431896209716797,-1.7492046356201172,9.68269157409668,False
E004,False,-11.767087936401367,-0.13553619384765625,11.631551742553711,11.496013641357422,True
E008,True,-10.059820175170898,2.265737533569336,12.325557708740234,14.591297149658203,False
E017,True,-3.179523468017578,-0.6343040466308594,2.5452194213867188,1.9109153747558594,True
E030,False,7.106284141540527,6.510876655578613,-0.5954074859619141,5.915469169616699,False
