case,candidate,metric,hidden,observed,er_1,entropy_matched
E017,preregistered reference,full_sum,-33.06312011182308,-30.213367134332657,-27.371376514434814,-27.563412860035896
E017,preregistered reference,full_mean,-3.3024347107857466,-3.0104558058083057,-2.685718595981598,-2.7526787761598825
E017,preregistered reference,answer_sum,-33.064996898174286,-30.212935835123062,-27.36097502708435,-27.55436973273754
E017,preregistered reference,answer_mean,-5.498143240809441,-4.99943432956934,-4.389000833034515,-4.5804240219295025
E017,common-name (post hoc),full_sum,-3.179497465491295,-0.6347692310810089,1.9096316397190094,-1.9065044969320297
E017,common-name (post hoc),full_mean,-0.3511234801262617,-0.06448491290211678,0.24074740894138813,-0.20979916863143444
E017,common-name (post hoc),answer_sum,-3.177217185497284,-0.631553441286087,1.914141371846199,-1.9021615535020828
E017,common-name (post hoc),answer_mean,-0.6278297752141953,-0.1046776995062828,0.4855252765119076,-0.3732497878372669
E004,preregistered reference,full_sum,-10.773189187049866,2.653203308582306,21.33157493174076,5.748981475830078
E004,preregistered reference,full_mean,-0.9869736507534981,0.21515028923749924,1.7770971725694835,0.3919546604156494
E004,preregistered reference,answer_sum,-11.767067182110623,-0.1355041265487671,11.49608028097282,-11.434193137800321
E004,preregistered reference,answer_mean,-1.6810274407325778,-0.030570849776268005,1.437008687659727,-1.6334586743905675
