2026-08-24T22:41:25+0800,17427, 63726, 0, 47.38
2026-08-24T22:41:36+0800,17427, 63726, 0, 46.98
2026-08-24T22:41:46+0800,17427, 63726, 0, 47.38
2026-08-24T22:41:56+0800,17427, 63726, 0, 46.95
2026-08-24T22:42:07+0800,17850, 63302, 0, 47.41
2026-08-24T22:42:17+0800,17850, 63302, 0, 47.38
2026-08-24T22:42:28+0800,23878, 57274, 82, 70.55
2026-08-24T22:42:38+0800,31784, 49368, 4, 47.41
2026-08-24T22:42:49+0800,34022, 47130, 44, 61.49
2026-08-24T22:42:59+0800,58692, 22460, 6, 47.38
2026-08-24T22:43:09+0800,57998, 23154, 20, 101.09
2026-08-24T22:43:20+0800,57998, 23154, 34, 47.90
2026-08-24T22:43:30+0800,57998, 23154, 32, 99.64
2026-08-24T22:43:40+0800,57998, 23154, 31, 84.28
2026-08-24T22:43:51+0800,58000, 23152, 27, 67.19
2026-08-24T22:44:01+0800,58000, 23152, 25, 69.15
2026-08-24T22:44:12+0800,41444, 39708, 56, 193.02
2026-08-24T22:44:22+0800,30570, 50582, 0, 49.76
2026-08-24T22:44:32+0800,30570, 50582, 0, 63.49
2026-08-24T22:44:43+0800,56730, 24422, 3, 56.89
2026-08-24T22:44:53+0800,58120, 23032, 27, 85.41
2026-08-24T22:45:04+0800,58120, 23032, 26, 79.92
2026-08-24T22:45:14+0800,58120, 23032, 38, 86.10
2026-08-24T22:45:25+0800,58120, 23032, 32, 99.29
2026-08-24T22:45:35+0800,58120, 23032, 21, 63.95
2026-08-24T22:45:46+0800,58120, 23032, 14, 57.86
2026-08-24T22:45:56+0800,51544, 29608, 63, 165.69
2026-08-24T22:46:06+0800,51546, 29606, 80, 252.67
2026-08-24T22:46:16+0800,30590, 50562, 0, 68.16
2026-08-24T22:46:27+0800,56898, 24254, 87, 240.76
2026-08-24T22:46:37+0800,58094, 23058, 26, 65.78
2026-08-24T22:46:47+0800,58094, 23058, 27, 89.40
2026-08-24T22:46:58+0800,58094, 23058, 16, 62.63
2026-08-24T22:47:09+0800,57574, 23578, 96, 221.91
