2026-08-24T22:37:09+0800,17427, 63726, 0, 47.01
2026-08-24T22:37:14+0800,17427, 63726, 0, 46.95
2026-08-24T22:37:19+0800,17427, 63726, 0, 47.01
2026-08-24T22:37:24+0800,17427, 63726, 0, 47.01
2026-08-24T22:37:30+0800,17427, 63726, 0, 47.41
2026-08-24T22:37:36+0800,17427, 63726, 0, 46.95
2026-08-24T22:37:41+0800,17427, 63726, 0, 46.98
2026-08-24T22:37:47+0800,17850, 63302, 0, 46.98
2026-08-24T22:37:52+0800,17850, 63302, 0, 46.98
2026-08-24T22:37:58+0800,17850, 63302, 0, 46.98
2026-08-24T22:38:03+0800,21882, 59270, 100, 82.83
2026-08-24T22:38:08+0800,26138, 55014, 17, 61.49
2026-08-24T22:38:14+0800,26120, 55032, 0, 60.64
2026-08-24T22:38:19+0800,30000, 51152, 18, 60.60
2026-08-24T22:38:25+0800,32230, 48922, 0, 47.41
2026-08-24T22:38:30+0800,33792, 47360, 0, 60.60
2026-08-24T22:38:35+0800,46706, 34446, 1, 46.95
2026-08-24T22:38:41+0800,49188, 31964, 21, 47.41
2026-08-24T22:38:46+0800,30338, 50814, 0, 60.64
2026-08-24T22:38:52+0800,35420, 45732, 7, 48.32
2026-08-24T22:38:57+0800,46260, 34892, 34, 73.82
2026-08-24T22:39:03+0800,46854, 34298, 29, 70.12
2026-08-24T22:39:08+0800,32308, 48844, 6, 62.08
2026-08-24T22:39:13+0800,43000, 38152, 14, 65.78
2026-08-24T22:39:18+0800,38586, 42566, 100, 70.59
2026-08-24T22:39:24+0800,55044, 26108, 25, 64.81
2026-08-24T22:39:29+0800,43446, 37706, 20, 65.40
2026-08-24T22:39:35+0800,40328, 40824, 60, 72.00
2026-08-24T22:39:40+0800,55046, 26106, 34, 75.69
2026-08-24T22:39:45+0800,55044, 26108, 17, 86.52
2026-08-24T22:39:51+0800,43446, 37706, 39, 61.53
2026-08-24T22:39:56+0800,38592, 42560, 100, 85.98
2026-08-24T22:40:02+0800,55044, 26108, 23, 70.17
