2026-08-24T23:47:54+0800,17427, 63726, 0, 51.21
2026-08-24T23:48:05+0800,17427, 63726, 0, 50.25
2026-08-24T23:48:15+0800,17427, 63726, 0, 50.28
2026-08-24T23:48:25+0800,17850, 63302, 0, 49.79
2026-08-24T23:48:36+0800,17850, 63302, 0, 49.79
2026-08-24T23:48:46+0800,23654, 57498, 100, 73.45
2026-08-24T23:48:56+0800,26120, 55032, 0, 49.79
2026-08-24T23:49:07+0800,32230, 48922, 0, 49.30
2026-08-24T23:49:17+0800,55366, 25786, 1, 48.86
2026-08-24T23:49:27+0800,58616, 22536, 10, 141.55
2026-08-24T23:49:38+0800,58616, 22536, 23, 51.18
2026-08-24T23:49:48+0800,58616, 22536, 23, 51.64
2026-08-24T23:49:58+0800,58620, 22532, 30, 72.93
2026-08-24T23:50:09+0800,34342, 46810, 39, 64.89
2026-08-24T23:50:19+0800,32378, 48774, 0, 66.33
2026-08-24T23:50:30+0800,32378, 48774, 0, 50.25
2026-08-24T23:50:40+0800,35330, 45822, 97, 92.90
2026-08-24T23:50:50+0800,56776, 24376, 92, 190.67
2026-08-24T23:51:00+0800,58856, 22296, 27, 69.06
2026-08-24T23:51:11+0800,58860, 22292, 31, 141.46
2026-08-24T23:51:21+0800,58860, 22292, 24, 70.91
2026-08-24T23:51:31+0800,43396, 37756, 90, 246.97
2026-08-24T23:51:42+0800,29966, 51186, 45, 78.02
2026-08-24T23:51:52+0800,35436, 45716, 22, 55.94
2026-08-24T23:52:03+0800,57956, 23196, 28, 167.87
2026-08-24T23:52:13+0800,57956, 23196, 31, 128.67
2026-08-24T23:52:23+0800,31272, 49880, 100, 77.13
2026-08-24T23:52:34+0800,30020, 51132, 65, 72.93
2026-08-24T23:52:44+0800,56198, 24954, 42, 152.30
2026-08-24T23:52:55+0800,56198, 24954, 25, 72.37
2026-08-24T23:53:05+0800,55480, 25672, 11, 53.09
2026-08-24T23:53:16+0800,56346, 24806, 23, 67.70
2026-08-24T23:53:26+0800,43130, 38022, 97, 228.42
2026-08-24T23:53:36+0800,50060, 31092, 95, 239.32
2026-08-24T23:53:47+0800,35662, 45490, 100, 254.77
2026-08-24T23:53:58+0800,35960, 45192, 100, 238.59
2026-08-24T23:54:08+0800,35962, 45190, 96, 313.16
2026-08-24T23:54:19+0800,35962, 45190, 100, 222.23
2026-08-24T23:54:29+0800,35964, 45188, 100, 215.06
2026-08-24T23:54:39+0800,35966, 45186, 100, 215.35
2026-08-24T23:54:50+0800,35966, 45186, 100, 256.61
2026-08-24T23:55:00+0800,35968, 45184, 100, 246.39
2026-08-24T23:55:10+0800,35968, 45184, 100, 232.20
2026-08-24T23:55:21+0800,35970, 45182, 100, 247.89
2026-08-24T23:55:31+0800,35972, 45180, 100, 227.85
2026-08-24T23:55:42+0800,35972, 45180, 100, 249.65
2026-08-24T23:55:52+0800,35974, 45178, 100, 230.77
2026-08-24T23:56:02+0800,35976, 45176, 100, 220.33
2026-08-24T23:56:13+0800,35976, 45176, 100, 211.28
2026-08-24T23:56:23+0800,35978, 45174, 96, 198.29
2026-08-24T23:56:33+0800,35978, 45174, 100, 226.73
2026-08-24T23:56:44+0800,35980, 45172, 100, 198.57
2026-08-24T23:56:55+0800,35980, 45172, 100, 241.52
2026-08-24T23:57:05+0800,35982, 45170, 98, 218.33
2026-08-24T23:57:15+0800,35982, 45170, 100, 221.76
2026-08-24T23:57:26+0800,35984, 45168, 100, 253.17
2026-08-24T23:57:36+0800,35986, 45166, 100, 211.92
2026-08-24T23:57:47+0800,35986, 45166, 100, 235.31
2026-08-24T23:57:57+0800,35988, 45164, 97, 221.12
2026-08-24T23:58:07+0800,35988, 45164, 100, 216.63
2026-08-24T23:58:18+0800,35990, 45162, 99, 217.19
2026-08-24T23:58:28+0800,35990, 45162, 100, 222.68
2026-08-24T23:58:38+0800,35992, 45160, 100, 192.90
2026-08-24T23:58:49+0800,35994, 45158, 100, 229.73
2026-08-24T23:59:00+0800,35994, 45158, 100, 218.48
2026-08-24T23:59:10+0800,35996, 45156, 100, 200.51
2026-08-24T23:59:20+0800,37408, 43744, 3, 139.83
2026-08-24T23:59:31+0800,66452, 14700, 84, 167.21
2026-08-24T23:59:41+0800,80600, 552, 74, 162.71
2026-08-24T23:59:52+0800,80600, 552, 57, 239.32
2026-08-25T00:00:03+0800,80602, 550, 28, 138.39
2026-08-25T00:00:13+0800,53456, 27696, 71, 222.88
2026-08-25T00:00:24+0800,53458, 27694, 99, 233.28
2026-08-25T00:00:34+0800,61978, 19174, 86, 208.92
2026-08-25T00:00:44+0800,66250, 14902, 29, 184.90
2026-08-25T00:00:55+0800,66250, 14902, 100, 213.64
2026-08-25T00:01:05+0800,66250, 14902, 82, 191.60
2026-08-25T00:01:15+0800,66250, 14902, 73, 225.30
2026-08-25T00:01:26+0800,64930, 16222, 65, 314.66
2026-08-25T00:01:36+0800,67606, 13546, 23, 163.21
2026-08-25T00:01:46+0800,67606, 13546, 23, 66.80
