2026-08-24T23:02:23+0800,17427, 63726, 0, 49.40
2026-08-24T23:02:33+0800,17427, 63726, 0, 48.86
2026-08-24T23:02:44+0800,17427, 63726, 0, 48.86
2026-08-24T23:02:54+0800,17850, 63302, 0, 48.86
2026-08-24T23:03:05+0800,19850, 61302, 79, 65.45
2026-08-24T23:03:15+0800,31864, 49288, 4, 48.89
2026-08-24T23:03:26+0800,56200, 24952, 1, 50.31
2026-08-24T23:03:36+0800,59120, 22032, 13, 48.89
2026-08-24T23:03:46+0800,58108, 23044, 37, 129.68
2026-08-24T23:03:57+0800,58108, 23044, 39, 108.21
2026-08-24T23:04:07+0800,58108, 23044, 24, 72.42
2026-08-24T23:04:17+0800,58108, 23044, 25, 67.28
2026-08-24T23:04:27+0800,37812, 43340, 85, 226.16
2026-08-24T23:04:38+0800,30564, 50588, 0, 66.29
2026-08-24T23:04:48+0800,56910, 24242, 92, 236.71
2026-08-24T23:04:59+0800,58202, 22950, 44, 185.90
2026-08-24T23:05:09+0800,58202, 22950, 39, 171.66
2026-08-24T23:05:19+0800,58202, 22950, 36, 78.07
2026-08-24T23:05:30+0800,31000, 50152, 100, 77.13
2026-08-24T23:05:40+0800,51310, 29842, 93, 242.44
2026-08-24T23:05:51+0800,30622, 50530, 0, 54.51
2026-08-24T23:06:01+0800,56904, 24248, 91, 249.82
2026-08-24T23:06:12+0800,58084, 23068, 41, 152.71
2026-08-24T23:06:22+0800,30980, 50172, 100, 80.45
2026-08-24T23:06:32+0800,45354, 35798, 97, 252.26
2026-08-24T23:06:43+0800,56816, 24336, 0, 218.27
2026-08-24T23:06:53+0800,56816, 24336, 24, 74.38
2026-08-24T23:07:03+0800,35404, 45748, 56, 80.96
2026-08-24T23:07:14+0800,56720, 24432, 25, 71.44
2026-08-24T23:07:24+0800,47528, 33624, 96, 237.06
2026-08-24T23:07:35+0800,55260, 25892, 93, 257.86
2026-08-24T23:07:46+0800,35918, 45234, 100, 250.58
2026-08-24T23:07:56+0800,35918, 45234, 100, 202.36
2026-08-24T23:08:07+0800,35920, 45232, 100, 227.23
2026-08-24T23:08:17+0800,35922, 45230, 81, 269.64
2026-08-24T23:08:28+0800,35922, 45230, 100, 253.67
2026-08-24T23:08:38+0800,35924, 45228, 100, 217.98
2026-08-24T23:08:49+0800,35924, 45228, 97, 257.36
2026-08-24T23:08:59+0800,35926, 45226, 100, 166.40
2026-08-24T23:09:09+0800,35928, 45224, 97, 238.59
2026-08-24T23:09:20+0800,36226, 44926, 98, 247.47
2026-08-24T23:09:30+0800,36228, 44924, 100, 225.30
