2026-08-24T22:27:03+0800,17427, 63726, 0, 46.95
2026-08-24T22:27:09+0800,17427, 63726, 0, 46.95
2026-08-24T22:27:14+0800,17427, 63726, 0, 46.95
2026-08-24T22:27:19+0800,17427, 63726, 0, 46.98
2026-08-24T22:27:25+0800,17427, 63726, 0, 46.98
2026-08-24T22:27:30+0800,17427, 63726, 0, 46.95
2026-08-24T22:27:36+0800,56376, 24776, 0, 60.20
2026-08-24T22:27:41+0800,56406, 24746, 0, 46.98
2026-08-24T22:27:46+0800,56424, 24728, 0, 47.41
2026-08-24T22:27:51+0800,56442, 24710, 0, 47.41
2026-08-24T22:27:57+0800,48128, 33024, 0, 46.95
2026-08-24T22:28:03+0800,48128, 33024, 0, 46.95
2026-08-24T22:28:09+0800,48128, 33024, 0, 47.34
2026-08-24T22:28:14+0800,50830, 30322, 11, 48.32
2026-08-24T22:28:19+0800,53686, 27466, 0, 46.92
2026-08-24T22:28:25+0800,53686, 27466, 0, 46.95
2026-08-24T22:28:30+0800,62188, 18964, 0, 46.95
2026-08-24T22:28:36+0800,64686, 16466, 5, 47.90
2026-08-24T22:28:41+0800,63642, 17510, 11, 46.92
2026-08-24T22:28:46+0800,62480, 18672, 18, 54.93
2026-08-24T22:28:52+0800,62482, 18670, 15, 53.98
2026-08-24T22:28:57+0800,52710, 28442, 0, 46.98
2026-08-24T22:29:03+0800,57516, 23636, 4, 48.83
2026-08-24T22:29:08+0800,62480, 18672, 14, 56.38
2026-08-24T22:29:13+0800,62480, 18672, 14, 54.51
2026-08-24T22:29:18+0800,52396, 28756, 91, 125.61
2026-08-24T22:29:24+0800,62482, 18670, 16, 57.35
2026-08-24T22:29:29+0800,80588, 564, 100, 62.98
2026-08-24T22:29:35+0800,80604, 548, 0, 60.68
